Leading,Trailing,Mnemonic,Operand,,,Proposal,Comment
0x0,,unreachable,,,,,
0x1,,nop,,,,,
0x2,,block,bt,,,,
0x3,,loop,bt,,,,
0x4,,if,bt,,,,
0x5,,else,,,,,
0x6,,,,,,,
0x7,,,,,,,
0x8,,,,,,,
0x9,,,,,,,
0xA,,,,,,,
0xB,,end,,,,,
0xC,,br,u32,,,,
0xD,,br_if,u32,,,,
0xE,,br_table,br_table,,,,
0xF,,return,,,,,
0x10,,call,u32,,,,
0x11,,call_indirect,u32,u32,,,
0x12,,return_call,,,,tail_call,
0x13,,return_call_indirect,,,,tail_call,
0x14,,call_ref,,,,typed_function_references,
0x15,,return_call_ref,,,,typed_function_references,
0x16,,,,,,,
0x17,,,,,,,
0x18,,,,,,,
0x19,,,,,,,
0x1A,,drop,,,,,
0x1B,,select,,,,,
0x1C,,select_t,u32,,,reference_types,
0x1D,,,,,,,
0x1E,,,,,,,
0x1F,,,,,,,
0x20,,local.get,u32,,,,
0x21,,local.set,u32,,,,
0x22,,local.tee,u32,,,,
0x23,,global.get,u32,,,,
0x24,,global.set,u32,,,,
0x25,,table.get,u32,,,reference_types,
0x26,,table.set,u32,,,reference_types,
0x27,,,,,,,
0x28,,i32.load,memarg,,,,
0x29,,i64.load,memarg,,,,
0x2A,,f32.load,memarg,,,,
0x2B,,f64.load,memarg,,,,
0x2C,,i32.load8_s,memarg,,,,
0x2D,,i32.load8_u,memarg,,,,
0x2E,,i32.load16_s,memarg,,,,
0x2F,,i32.load16_u,memarg,,,,
0x30,,i64.load8_s,memarg,,,,
0x31,,i64.load8_u,memarg,,,,
0x32,,i64.load16_s,memarg,,,,
0x33,,i64.load16_u,memarg,,,,
0x34,,i64.load32_s,memarg,,,,
0x35,,i64.load32_u,memarg,,,,
0x36,,i32.store,memarg,,,,
0x37,,i64.store,memarg,,,,
0x38,,f32.store,memarg,,,,
0x39,,f64.store,memarg,,,,
0x3A,,i32.store8,memarg,,,,
0x3B,,i32.store16,memarg,,,,
0x3C,,i64.store8,memarg,,,,
0x3D,,i64.store16,memarg,,,,
0x3E,,i64.store32,memarg,,,,
0x3F,,memory.size,u32,,,,
0x40,,memory.grow,u32,,,,
0x41,,i32.const,i32,,,,
0x42,,i64.const,i64,,,,
0x43,,f32.const,f32,,,,
0x44,,f64.const,f64,,,,
0x45,,i32.eqz,,,,,
0x46,,i32.eq,,,,,
0x47,,i32.ne,,,,,
0x48,,i32.lt_s,,,,,
0x49,,i32.lt_u,,,,,
0x4A,,i32.gt_s,,,,,
0x4B,,i32.gt_u,,,,,
0x4C,,i32.le_s,,,,,
0x4D,,i32.le_u,,,,,
0x4E,,i32.ge_s,,,,,
0x4F,,i32.ge_u,,,,,
0x50,,i64.eqz,,,,,
0x51,,i64.eq,,,,,
0x52,,i64.ne,,,,,
0x53,,i64.lt_s,,,,,
0x54,,i64.lt_u,,,,,
0x55,,i64.gt_s,,,,,
0x56,,i64.gt_u,,,,,
0x57,,i64.le_s,,,,,
0x58,,i64.le_u,,,,,
0x59,,i64.ge_s,,,,,
0x5A,,i64.ge_u,,,,,
0x5B,,f32.eq,,,,,
0x5C,,f32.ne,,,,,
0x5D,,f32.lt,,,,,
0x5E,,f32.gt,,,,,
0x5F,,f32.le,,,,,
0x60,,f32.ge,,,,,
0x61,,f64.eq,,,,,
0x62,,f64.ne,,,,,
0x63,,f64.lt,,,,,
0x64,,f64.gt,,,,,
0x65,,f64.le,,,,,
0x66,,f64.ge,,,,,
0x67,,i32.clz,,,,,
0x68,,i32.ctz,,,,,
0x69,,i32.popcnt,,,,,
0x6A,,i32.add,,,,,
0x6B,,i32.sub,,,,,
0x6C,,i32.mul,,,,,
0x6D,,i32.div_s,,,,,
0x6E,,i32.div_u,,,,,
0x6F,,i32.rem_s,,,,,
0x70,,i32.rem_u,,,,,
0x71,,i32.and,,,,,
0x72,,i32.or,,,,,
0x73,,i32.xor,,,,,
0x74,,i32.shl,,,,,
0x75,,i32.shr_s,,,,,
0x76,,i32.shr_u,,,,,
0x77,,i32.rotl,,,,,
0x78,,i32.rotr,,,,,
0x79,,i64.clz,,,,,
